order,rootWord,rootWordId,definition,partOfSpeech
1,أ ل ه,61,Allah,Proper noun
2,ر ب ب,524,the Lord,Noun
3,ع ل م,1016,they know,Noun
4,ق و ل,1245,to say,Verb (form I)
5,ق و م,1246,they stand (still),Active participle (form X) (Adjective)
6,ع ب د,948,to worship,Verb (form I)
7,ر ح م,544,and have mercy on us,Nominal (Adjective)
8,ك ذ ب,1263,"to deny, to lie",Verb (form I)
9,ٱلَّذِى,59,"who, which, that",Nominal (Relative pronoun)
10,ك و ن,1305,to be,Verb (form I)
11,إِلَّا,58,except,Particle (Restriction particle)
12,ه د ي,1547,to guide,Verb (form I)
13,ي و م,1664,(of the) Day,Nominal (Noun)
14,إِلَىٰ,63,"to, toward, until",Preposition
15,ر س ل,555,to send,Verb (form IV)
16,و ق ي,1641,"to save, to protect",Verb (form I)
17,س م و,726,[I] (have) named her,Noun
18,أ ر ض,32,"the Earth, land",Noun
19,ش ي أ,810,"to will, to wish",Verb (form I)
20,ب ي ن,173,to make clear,Verb (form II)
21,أ ي ي,90,Our Signs,Noun
22,ص ر ط,836,(to) the path,Noun
23,ن ذ ر,1456,"to vow, to worn",Verb (form I)
24,ن ز ل,1460,"to send down, to reveal",Verb (form II)
25,ذ ك ر,511,"to remember, to mention",Verb (form I)
26,ك ف ر,1280,to disbelieve,Verb (form I)
27,ك ت ب,1256,"to write, to prescribe, to ordain",Verb (form I)
28,و ل ي,1648,to turn,Verb (form II)
29,ف ض ل,1139,"to bestow, to prefer, to favor",Verb (form II)
30,ض ل ل,891,he went astray (from),Active participle (Noun)
31,أ ت ي,12,"to come, to bring",Verb (form I)
32,ج ع ل,249,to make,Verb (form I)
33,د ي ن,498,they acknowledge,Noun
34,ع ذ ب,968,to punish,Verb (form II)
35,ن و س,1530,the people,Noun
36,ح م د,352,they be praised,Noun
37,ح س ن,321,to do good,Verb (form IV)
38,ن ص ر,1477,to help,Verb (form I)
39,أ خ ذ,21,"to take, to seize",Verb (form I)
40,س م ع,722,"to hear, to listen",Verb (form I)
41,م ل ك,1415,possesses,Active participle
42,ر أ ي,523,to see,Verb (form I)
43,ن ظ ر,1487,"to look, to see",Verb (form I)
44,ف ع ل,1143,to do,Verb (form I)
45,خ و ف,444,"to fear, to be afraid",Verb (form I)
46,و ع د,1626,to promise,Verb (form I)
47,ع ظ م,1005,honors,Nominal (Adjective)
48,خ ل ق,431,to create,Verb (form I)
49,غ ي ر,1095,so they will surely change,Nominal (Noun)
50,أ خ ر,22,"to delay, to stay behind",Verb (form V)
51,ن ه ي,1526,"to refrain, to cease, to desist",Verb (form VIII)
52,ق د م,1183,"to send forth, to offer",Verb (form II)
53,ت و ب,190,"to repent, to turn",Verb (form I)
54,ص ل و,857,praying,Noun
55,ع ز ز,982,and he overpowered me,Nominal (Noun)
56,أ م ر,69,"to order, to command",Verb (form I)
57,أ و ل,85,(the) first,Nominal (Noun)
58,د ع و,474,"to call, to invite, to pray",Verb (form I)
59,غ ي ب,1093,backbite,Noun
60,إِذَا,27,when,Nominal (Time adverb)
61,ر ج ع,536,to return,Verb (form I)
62,ن ع م,1492,to bestow favor,Verb (form IV)
63,م ك ر,1409,"to plot, to scheme, to plan",Verb (form I)
64,ك ث ر,1259,much ,Nominal (Noun)
65,ي د ي,1657,(of) them,Noun
66,ر ز ق,552,to provide,Verb (form I)
67,ك ل ل,1288,(is) a burden,Nominal (Noun)
68,ظ ن ن,944,"to think, to assume, to guess",Verb (form I)
69,ب ع ض,141,some of you,Noun
70,س ج د,659,to prostrate,Verb (form I)
71,س ب ل,656,(of) the way,Noun
72,ت ل و,188,to recite,Verb (form I)
73,ش ك ر,789,"to be grateful, to give thanks",Verb (form I)
74,ن ف س,1500,"self, soul, person, mind",Noun
75,ب ع ث,137,"to raise, to resurrect, to send",Verb (form I)
76,ع ف و,1008,"to forgive, to pardon",Verb (form I)
77,ب ص ر,129,to see,Verb (form IV)
78,د خ ل,461,to enter,Verb (form I)
79,أ ل و,62,"to swear, to vow",Verb (form IV)
80,ظ ل م,942,"to oppress, to wrong",Verb (form I)
81,د و ن,497,other than,Nominal (Noun)
82,ك ر م,1267,You have honored,Nominal (Adjective)
83,و ك ل,1645,to put trust,Verb (form V)
84,أَم,66,or,Coordinating conjunction
85,غ ف ر,1071,to forgive,Verb (form I)
86,ن ف ق,1503,to spend,Verb (form IV)
87,ع م ل,1022,"to do, to work",Verb (form I)
88,غ ن ي,1086,(has) availed,Nominal (Noun)
89,ش ه د,801,"to testify, to bear witness",Verb (form I)
90,إِذ,26,when,Time adverb
91,ف ر ق,1124,to divide,Verb (form I)
92,ب ع د,139,was long,Nominal (Noun)
93,ن ب أ,1434,to inform,Verb (form IV)
94,أ ذ ن,29,to permit,Verb (form I)
95,س و أ,737,it grieves them,Noun
96,ع ق ل,1012,"to understand, to reason",Verb (form I)
97,ح ي ي,381,to give life,Verb (form IV)
98,ع و ن,1041,to seek help,Verb (form X)
99,ع ل ن,1017,"to declare, to reveal, to proclaim",Verb (form IV)
100,ص ل ح,854,"to correct, to reform, to improve, to make peace",Verb (form IV)
101,ق ب ل,1174,to accept,Verb (form I)
102,ن و ر,1529,a fire,Noun
103,ص ح ب,822,can be protected,Noun
104,م ث ل,1369,then he assumed for her the likeness,Nominal (Noun)
105,ت ب ع,176,to follow,Verb (form I)
106,م و ت,1424,to die,Verb (form I)
107,ج م ع,260,We will gather them,Noun
108,ه ز أ,1550,"to mock, to ridicule",Verb (form X)
109,ن ص ب,1474,they are fixed,Noun
110,م د د,1379,"to spread, to extend, to prolong",Verb (form I)
