and We seized , fa-akhadhnāhum , وَأَخَذْنَا
And when , wa-idhā , وَإِذَا
(to) eat , fa-akalahu , يَأْكُلُوا
painful , alīmun , أَلِيمٌ
to you , wa-ilā , إِلَيْكَ
or , am , أَمْ
We order , amara , أَمَرْنَا
the unlettered people , a-immatan , الْأُمِّيِّينَ
We have believed , āmanū , آمَنَّا
(are) people , l-insānu , أُنَاسٌ
Our Signs  , āyāti , بِآيَاتِنَا
the eyes , l-abṣāra , الْأَبْصَارُ
some (of) , bibaʿḍin , بَعْضُ
We placed , jaʿalnāka , جَعَلْنَا
(are) Gardens , wajannātun , جَنَّاتٌ
the Sacred , l-ḥarāmu , الْحَرَامَ
the best thereof , aḥsanu , أَحْسَنَهُ
(are) the Most Just , fa-uḥ'kum , أَحْكَمُ
being permitted , ḥalālan , مُحِلِّي
a burden , waḥumilati , حَمْلًا
gives it life , yuḥ'yīni , أَحْيَاهَا
(will) abide forever , khālidīna , خَالِدُونَ
[I] fear , takhaf , أَخَافُ
they invoked , yadʿunā , يَدْعُونَ
(of) the Judgment , l-dīni , الدِّينِ
gold , adhhaba , ذَهَبٍ
And surely, We will let them taste , nudhiq'hu , وَلَنُذِيقَنَّهُمْ
who provides for you , yarzuquhā , يَرْزُقُكُمْ
We sent , wa-arsalnā , أَرْسَلْنَا
His pleasure , yur'ḍūnakum , رِضْوَانَهُ
desiring , yuridi , يُرِيدُونَ
zakah , wal-zakati , زَكَاةٍ
Glory be to You , sabbiḥi , سُبْحَانَكَ
the magicians , l-saḥaratu , السَّحَرَةُ
needy people , maskanihim , مَسَاكِينَ
the heaven , is'ma , السَّمَاءِ
(it) is same , tastawī , سَوَاءٌ
the severe , ashaddu , الشَّدِيدَ
they associate , yush'riku , يُشْرِكُونَ
(are) grateful , shakara , الشَّكُورُ
And take witness , yashhadu , وَأَشْهِدُوا
wills , yashāu , يَشَإِ
(the) companions , aṣḥāba , أَصْحَابِ
afflicts them , aṣābathu , تُصِبْهُمْ
(for) any harm , l-ḍuru , ضَرًّا
strays , aḍillu , ضَلَّ
wronged , ẓalamū , ظَلَمُوا
of the apparent , ẓahrihi , بِظَاهِرٍ
worship , yaʿbudu , تَعْبُدُوا
goods , aʿraḍū , عَرَضٌ
